S_Median Diameter=150.0 (nm)- S_Sigma=1.3- Dm=2.56- k=0.42- rho_100nm=502.0- D_TEM=0.45- P100nm_Diam=17.4 (nm)- P_Sigma=1.0,8.463710224104484e-18,9.956414136854041e-18,1.2028205177917614e-17,1.4082383139307627e-17,1.691813637109841e-17,1.9713376248230727e-17,2.3552407370566445e-17,2.7313474864606268e-17,3.2453912385268514e-17,3.8443496620518e-17,4.426538794744081e-17,5.215159946315149e-17,5.976434810423095e-17,7.003371860491243e-17,8.182393021443701e-17,9.310106136359689e-17,1.08196864162304e-16,1.253736738312646e-16,1.4163819716529822e-16,1.632603962290377e-16,1.876434301928527e-16,2.104782108365959e-16,2.40650922190668e-16,2.7437077561946966e-16,3.119365147878464e-16,3.4658225103784916e-16,3.9200077500907493e-16,4.4214056438897646e-16,4.973170780711471e-16,5.578434324816268e-16,6.124707183121536e-16,6.83506748691089e-16,7.607078602808173e-16,8.443373266045777e-16,9.34635227672089e-16,1.0318134698908978e-15,1.1360506667189161e-15,1.2266954976257926e-15,1.3438217348027375e-15,1.4682245356334853e-15,1.5999011262967809e-15,1.738791053845326e-15,1.884771886702245e-15,2.0376553642216863e-15,2.197184091806959e-15,2.36302887587308e-15,2.5347867886206078e-15,2.711980046093013e-15,2.894055774312491e-15,3.1237724560304703e-15,3.315693467795565e-15,3.510382434654472e-15,3.706992919775227e-15,3.90461704864607e-15,4.102291531624204e-15,4.354120146583286e-15,4.55058684603128e-15,4.743873748354339e-15,4.932864884108214e-15,5.178076927916559e-15,5.356468597590638e-15,5.527071651407508e-15,5.754172832240403e-15,5.906910682031536e-15,6.048527432403156e-15,6.245947092758807e-15,6.36302063410556e-15,6.534923051972415e-15,6.623555450306097e-15,6.76574570098454e-15,6.8227745527363504e-15,6.931863667353535e-15,6.9550171257527986e-15,7.028575996731603e-15,7.0165861069461e-15,7.053253172582266e-15,7.0707895084745836e-15,7.005455721582104e-15,6.9860325844692275e-15,6.947889348375725e-15,6.89140969428871e-15,6.81711635343768e-15,6.669616459063983e-15,6.56358402642029e-15,6.442125059856827e-15,6.306218214294224e-15,6.156930123971799e-15,5.9954021171544564e-15,5.8228363676627294e-15,5.640481709707481e-15,5.449619341028638e-15,5.251548633434463e-15,5.0475732597996635e-15,4.873306895436661e-15,4.659422333053992e-15,4.4434795800495754e-15,4.226680079775071e-15,4.036904897401066e-15,3.820001133924409e-15,3.605544249296839e-15,3.4160944511377704e-15,3.207694486017216e-15,3.0229254152811224e-15,2.8239510537624566e-15,2.6471739257519312e-15,2.46030342189334e-15,2.2941350894131983e-15,2.1334637502852946e-15,1.9787545560514e-15,1.8203309318693506e-15,1.679534985476703e-15,1.5455351150055888e-15,1.4184808934122048e-15,1.2984534903779052e-15,1.1854710178431229e-15,1.0794941844615458e-15,9.804321448131434e-16,8.881484367355353e-16,8.024669090209081e-16,7.266049334125189e-16,6.530797315325423e-16,5.854854195034876e-16,5.259094693511248e-16
S_Median Diameter=150.0 (nm)- S_Sigma=1.3- Dm=2.56- k=0.42- rho_100nm=502.0- D_TEM=0.45- P100nm_Diam=17.4 (nm)- P_Sigma=1.4,8.488657348701306e-18,1.0201911844557111e-17,1.2129474517517557e-17,1.439428863504063e-17,1.7049844249700614e-17,2.0278196786665206e-17,2.3851111844879675e-17,2.8084503080404714e-17,3.301900230136317e-17,3.869290253156158e-17,4.518535175085083e-17,5.285684940977402e-17,6.147125939188338e-17,7.121779174901693e-17,8.268688553320855e-17,9.566627899292205e-17,1.1009188658018042e-16,1.2666243232210403e-16,1.4528159300764405e-16,1.663192324099787e-16,1.8984540229585212e-16,2.1664255920998957e-16,2.4622536862396705e-16,2.7886059072806793e-16,3.151111580206804e-16,3.5568155645201274e-16,4.0006092337880744e-16,4.512186543497316e-16,5.034378568133998e-16,5.632374879179621e-16,6.30144597819369e-16,6.979152521728633e-16,7.736703132742711e-16,8.595005524621544e-16,9.481787668319241e-16,1.0449493387560524e-15,1.151408548742317e-15,1.2586544237224223e-15,1.3783261361219905e-15,1.5046893233925745e-15,1.6379201693395909e-15,1.77957606762096e-15,1.9280557694746474e-15,2.0806401333060378e-15,2.2473913086673546e-15,2.424831214622999e-15,2.593565736725496e-15,2.780178777245715e-15,2.9685642732786293e-15,3.162578022752171e-15,3.369619605377075e-15,3.565188104416051e-15,3.773789014886917e-15,3.986320263111461e-15,4.196902285145841e-15,4.41269367192829e-15,4.6208052658497305e-15,4.836686870727484e-15,5.045304117203938e-15,5.247654971710879e-15,5.450069290625994e-15,5.63977440852699e-15,5.8327415605530766e-15,6.021037089102356e-15,6.184826223878481e-15,6.343354821050972e-15,6.4921784129642245e-15,6.619659239606665e-15,6.767192130427372e-15,6.860267996569371e-15,6.9578521790320405e-15,7.044468780621787e-15,7.104547066385079e-15,7.161977689644647e-15,7.18415581794892e-15,7.189332587059007e-15,7.183272616808602e-15,7.166565003404119e-15,7.1321027772469e-15,7.068994542173371e-15,7.010017697532591e-15,6.920509549962464e-15,6.8214968800662516e-15,6.704931257572131e-15,6.572921435767973e-15,6.4295441766347375e-15,6.269698251172717e-15,6.111059863214927e-15,5.927147663011322e-15,5.744811892818013e-15,5.564131571794499e-15,5.356577648419926e-15,5.155818560777676e-15,4.949048046120094e-15,4.739687543801295e-15,4.525614910755691e-15,4.316469813018041e-15,4.101675425129603e-15,3.890709853340779e-15,3.680056056198224e-15,3.474265172125305e-15,3.2756070073337942e-15,3.0759183270852067e-15,2.8814294169713185e-15,2.6935808994802674e-15,2.5149167928364954e-15,2.3388025002781303e-15,2.1727797731845698e-15,2.0103774632233616e-15,1.8585940704739793e-15,1.7124204969775554e-15,1.5753102132938188e-15,1.4449018197368673e-15,1.323130880694899e-15,1.2074396623097398e-15,1.0998738978544263e-15,9.996680894974119e-16,9.062569679007698e-16,8.191939024336829e-16,7.394585923138051e-16,6.651740186586467e-16,5.975205004426927e-16,5.354391463022177e-16
S_Median Diameter=150.0 (nm)- S_Sigma=1.9- Dm=2.56- k=0.42- rho_100nm=502.0- D_TEM=0.45- P100nm_Diam=17.4 (nm)- P_Sigma=1.0,1.7504868597200024e-19,2.375236740011859e-19,2.858044639723526e-19,3.4308181097240437e-19,4.5651016381228915e-19,5.453964397127251e-19,7.150450619867203e-19,8.502143299594421e-19,1.008532759975177e-18,1.3019872783452142e-18,1.537097766271174e-18,1.9612137482198536e-18,2.3043733340401427e-18,2.9089216031441537e-18,3.4016771301697803e-18,4.251909062565385e-18,4.94855272719148e-18,6.128691218588053e-18,7.54265207976239e-18,8.716016665451855e-18,1.0639033903245093e-17,1.2915476290818943e-17,1.481849660439192e-17,1.7854218229588052e-17,2.140705957156136e-17,2.5547820970016084e-17,3.035421880524742e-17,3.591113137883601e-17,4.0618351181184245e-17,4.774312477926406e-17,5.589468887009874e-17,6.518593564627807e-17,7.573692977311566e-17,9.069785678367999e-17,1.0450333495293619e-16,1.19999020593612e-16,1.373306610472785e-16,1.5664802219069077e-16,1.8319242367929258e-16,2.0745901965804978e-16,2.342105015061882e-16,2.7035942215237614e-16,3.1056759580415157e-16,3.4703015750695846e-16,3.9543013981448336e-16,4.486216061327567e-16,4.964953888309039e-16,5.591163869510865e-16,6.271340419448459e-16,7.007162479665308e-16,7.79999692932475e-16,8.650853463490793e-16,9.719679285005561e-16,1.0698437848488556e-15,1.1735929027679176e-15,1.3022786194023465e-15,1.4388343818443443e-15,1.5617062904564238e-15,1.712303378705869e-15,1.87004223469666e-15,2.0345199808813077e-15,2.2052477950807574e-15,2.4087150262926243e-15,2.5912348008276725e-15,2.807244755480572e-15,2.998478416822768e-15,3.2234892355396716e-15,3.4519351240725906e-15,3.68263142165996e-15,3.914318180719383e-15,4.180508591714003e-15,4.44645659878232e-15,4.67429917707059e-15,4.93424745169471e-15,5.226369070664625e-15,5.474727841806377e-15,5.7144556288610065e-15,5.98224035803476e-15,6.238447281967061e-15,6.519841154936859e-15,6.747513392546842e-15,6.996793738091872e-15,7.227332660911538e-15,7.437508074761711e-15,7.663431240091591e-15,7.865335600525827e-15,8.041905360757193e-15,8.192049819606068e-15,8.35014707810609e-15,8.478821809199375e-15,8.611158222608896e-15,8.711461542022375e-15,8.779561656041209e-15,8.846400402573586e-15,8.879499455658331e-15,8.879424240905355e-15,8.874666581485083e-15,8.836464031618003e-15,8.791525237568413e-15,8.73798022717255e-15,8.651017055029326e-15,8.5325900702252e-15,8.405709415066469e-15,8.269325751341736e-15,8.103985700660916e-15,7.929900832973447e-15,7.730163099717502e-15,7.52311757855547e-15,7.308681886074185e-15,7.07349549025771e-15,6.845737402845446e-15,6.5997889597270605e-15,6.34962769052504e-15,6.085926937724707e-15,5.830131998128741e-15,5.563854903888856e-15,5.305584701136101e-15,5.040007255664304e-15,4.782901754976597e-15,4.521623811397996e-15,4.2694900601815925e-15,4.020992147620875e-15,3.777053382320846e-15
S_Median Diameter=150.0 (nm)- S_Sigma=1.9- Dm=2.56- k=0.42- rho_100nm=502.0- D_TEM=0.45- P100nm_Diam=17.4 (nm)- P_Sigma=1.4,1.875288068661671e-19,2.3679307777949312e-19,2.9413996380141163e-19,3.6572613074004923e-19,4.591442525237754e-19,5.704595752622983e-19,6.978999667813823e-19,8.673585460814859e-19,1.0664574549075617e-18,1.321567071204551e-18,1.6031810608730052e-18,1.9710986553396054e-18,2.4130409136920286e-18,2.9283404927718026e-18,3.5521328984863194e-18,4.3243572866684785e-18,5.213930940730694e-18,6.299704659506683e-18,7.587946757297154e-18,9.06841799419955e-18,1.0850641160867916e-17,1.2965582346567503e-17,1.5471061459896102e-17,1.8446580678857055e-17,2.1690928135832604e-17,2.583437174080471e-17,3.0405675419738164e-17,3.5736905674119964e-17,4.214518948756163e-17,4.921194581307947e-17,5.773798377259073e-17,6.742166237642352e-17,7.79927742436178e-17,9.102054820801166e-17,1.0572665700649339e-16,1.2162022701083398e-16,1.3990113269820355e-16,1.6146693378396938e-16,1.8461857872199646e-16,2.1134466233734923e-16,2.4168361132494924e-16,2.76020436305359e-16,3.126204426442557e-16,3.5422978612526524e-16,4.0113692079024364e-16,4.531531371987263e-16,5.091561466749419e-16,5.709142228957517e-16,6.402650404359926e-16,7.154063227170583e-16,7.982940919347105e-16,8.884342319150677e-16,9.850744852951316e-16,1.0878817544207666e-15,1.2021118048207227e-15,1.3241420724941548e-15,1.4559297906897926e-15,1.5976289835387632e-15,1.7474952204867867e-15,1.9089685207757072e-15,2.0757956896164818e-15,2.2530535094388264e-15,2.4423553586984877e-15,2.6406771107636003e-15,2.8447813022034347e-15,3.059956112636793e-15,3.2845520854785862e-15,3.5170064067060555e-15,3.757073196733213e-15,4.008064790204205e-15,4.2577383320946055e-15,4.516884156181886e-15,4.7760436792654635e-15,5.0399553894784486e-15,5.309506459221008e-15,5.573915598280733e-15,5.8431388049237676e-15,6.10569057914373e-15,6.3718628020426445e-15,6.630551674422505e-15,6.880903755265668e-15,7.128002929370415e-15,7.360079841356313e-15,7.58559099918239e-15,7.80097004596555e-15,8.002806891417509e-15,8.187926465001481e-15,8.359045372385747e-15,8.51348743173236e-15,8.647039175489074e-15,8.765546532774762e-15,8.870335461976099e-15,8.94152273732774e-15,9.003113505444201e-15,9.037905201442368e-15,9.050314788854675e-15,9.045622977539223e-15,9.019381367108363e-15,8.969719015930961e-15,8.898430215886692e-15,8.806093566840516e-15,8.694662160416595e-15,8.564639189344366e-15,8.418454690241569e-15,8.2549895678387e-15,8.073894541581232e-15,7.876139164106055e-15,7.668268689710403e-15,7.444763758557429e-15,7.213282841238413e-15,6.973600995367007e-15,6.7227380074055205e-15,6.466974201345776e-15,6.2065770159409956e-15,5.940513383446843e-15,5.67512508977298e-15,5.407321276258955e-15,5.139019091988249e-15,4.872538034602216e-15,4.610710805010089e-15,4.351895924649048e-15,4.096719041000357e-15,3.8481381132717586e-15
